fracDate Collected,Collector,Kind
,"Phipps, J. B.",thorn
,,oak
,,yellow-poplar
,,birch
,,birch
,,hornbeam
,,hornbeam
,,oak
1978.7890411,"Nicholson, R.",cedar
1978.7890411,"Nicholson, R. G.",pine
,"Jack, J.G.",
,"Jack, J.G.",
,"Rose, A.",spruce
,"Rose, A.",spruce
,"Rose, A.",spruce
,"Rose, A.",pine
,"Gordon, A. G.",spruce
,"Gordon, A. G.",spruce
,,pine
,"Jack, J. G.",
,,birch
,,plum
,,plum
1982.80547945,"Cornellier, N. and Savoie, L.",birch
1982.76438356,"Cornellier, N. and Picotte, C.",hickory
1982.69315068,"Smith, P.",hawthorn
1982.75068493,"Dickinson, T. A.",hawthorn
,"Jack, J. G.",linden
1982.68219178,"Phipps, J. P., Ulf-Hansen, P. F.",hawthorn
1982.59726027,,hawthorn
1982.72876712,"Cornellier, N., Picotte, C. & Savoie, L.",birch
1982.59726027,,hawthorn
,"Phipps, J. B.",thorn
,"Jack, J. G.",
,"Jack, J. G.",
,"Jack, J. G.",
,"Jack, J. G.",
,"Jack, J. G.",
,"Jack, J. G.",
,,sycamore
,,hawthorn
,,
,"Jack, J. G.",basswood
,"Beadle, D.W.",
,"Rose, A.",tamarack
1970.7890411,"Halward, R.",hornbeam
,"Rose, A.",spruce
,"Rose, A.",spruce
,"Rose, A.",spruce
,,beech
,,hawthorn
,,hawthorn
,,hawthorn
,,oak
,,oak
,,oak
1993.69589041,"Lord Howick & McNamara, W.A.",hemlock
,,
1988.00273224,"Phipps, J. B.",hawthorn
1988.00273224,L.L.C.,hawthorn
1988.00273224,L.L.C.,hawthorn
1988.00273224,L.L.C.,
1988.00273224,L.L.C.,
1982.59726027,"Phipps, J. P. & Ulf-Hansen, P. F.",hawthorn
,,spruce
,,cedar
,,cedar
1986.49863014,,ash
,,cedar
,,oak
,,hickory
,,hickory
1967.75890411,,dogwood
1978.7890411,"Nicholson, R. G.",pine
,,maple
,,cedar
1986.49863014,,ash
,,cedar
,,cedar
,,cedar
,,cedar
,,ash
1994.46849315,"Del Tredici, P.",cottonwood
,,fir
,"Del Tredici, P.",cedar
,"Del Tredici, P.",cedar
,"Del Tredici, P.",cedar
,"Nicholson, R. G.",cottonwood
1982.68219178,"Phipps, J. P. & Ulf-Hansen, P. F.",hawthorn
,"Nicholson, R. G.",cottonwood
,"Jack, J. G.",willow
,"Rose, A.",pine
,,
1982.73972603,"Cornellier, Savoie and Picotte",hop-hornbeam
1993.71780822,"Alexander, J.",spruce
,"Jack, J. G.",willow
1993.72054795,"Alexander, J.",
1993.71780822,"Alexander, J.",fir
,,ash
,,maple
,"Balkwill, J. A.",
,"Phipps, J. B.",
,"Jack, J. G.",
,,sycamore
,,ash
,,ash
,"Beadle, D.W.",
,,
1922.00273973,"Jack, J. G.",spruce
1922.00273973,"Jack, J. G.",spruce
,,cedar
1986.49863014,,ash
,,ash
,"Jack, J. G.",willow
,"Jack, J. G.",hawthorn
1993.71780822,"Alexander, J.",spruce
1993.73424658,"Alexander, J.",maple
