fracDate Collected,Collector,Kind
,Juli Zhang,larch
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",hackberry
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",hackberry
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",hackberry
,Juli Zhang,larch
1910.49863014,"Wilson, E. H.",hemlock
,Juli Zhang,larch
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
1910.49863014,"Wilson, E. H.",hemlock
1910.49863014,"Wilson, E. H.",hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
,,hemlock
1994.71780822,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1994.71780822,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1989.77260274,"Del Tredici, P.",maidenhair-tree
1989.77260274,"Del Tredici, P.",maidenhair-tree
,,
1989.78082192,"Del Tredici, P.",maidenhair-tree
,,
1989.77808219,"Del Tredici, P.",
1989.77260274,"Del Tredici, P.",
1989.77808219,"Del Tredici, P.",
1989.76712329,"Del Tredici, P.",maidenhair-tree
1989.76712329,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
1911.08767123,"Wilson, E. H.",spruce
,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
,"Del Tredici, P.",maidenhair-tree
1989.77808219,"Del Tredici, P.",maidenhair-tree
1917.55616438,"Wilson, E. H.",pine
,,
1993.68767123,"Jin, Tieshan, Liu, K., Bachtell, P. Bristol, P. Meyer",maackia
1994.72054795,NACPEC '94,stewartia
1993.68767123,"Jin, Tieshan, Liu, K., Bachtell, P. Bristol, P. Meyer",maackia
1919.49863014,"Hers, J.",maple
,"Ting, Y. C.",magnolia
,"Ting, Y. C.",magnolia
,"Ting, Y. C.",magnolia
,"Ting, Y. C.",magnolia
1999.89863014,"Dosmann, M., Graves, W. R.",katsura
2008.72404372,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
2002.70684932,"Bristol, P., Bordelon, C., Bachtell, K., Aiello, T.",birch
1996.79781421,"Lewandowski, R., Conrad, K., Ault, J., Cui, T.",maple
,"Hers, J.",
1989.77808219,"Del Tredici, P.",maidenhair-tree
,"Hers, J.",linden
2005.72876712,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",hornbeam
1910.7890411,"Wilson, E. H.",
1907.49863014,"Wilson, E. H.",maple
1996.79781421,"Lewandowski, R., Conrad, K., Ault, J., Cui, T.",maple
,,ash
,,ash
,,ash
,,ash
,,ash
,,ash
,,
,,spruce
,,spruce
,,spruce
,,spruce
,,spruce
,,
,,spruce
,,spruce
,,spruce
,,pine
,,pine
,,spruce
,,spruce
,,
,,pine
,,zelkova
,,
1911.49863014,"Wilson, E. H.",fir
1911.49863014,"Wilson, E. H.",fir
,"Williams, E.T.",catalpa
,,zelkova
,,
1910.7890411,"Wilson, E. H.",
1999.78356164,"Belt, S; Garvey, E; Stites, J; Wang, Q; He, J.R.",
1922.68493151,"Hers, J.",oak
,"Hers, J.",ash
1910.7890411,"Wilson, E. H.",
1916.90163934,Meyer,nashi
,"Hers, J.",chestnut
1999.77808219,"Belt, S; Garvey, E; Stites, J; Wang, Q; He, J.R.",
1999.78630137,"Belt, S; Garvey, E; Stites, J; Wang, Q; He, J.R.",
2007.71506849,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",linden
2002.73150685,"Bristol, P., Bordelon, C., Bachtell, K., Aiello, T.",tree
1999.77534247,"Belt, S; Garvey, E; Stites, J; Wang, Q; He, J.R.",
2008.72677596,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
1994.70410959,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
2008.72677596,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
,"Qingyan, Zheng",
2005.71506849,"Aiello, A., Bachtell, K., Scanlon, M., Wang, K., Sun, X.",
1908.5,"Wilson, E. H.",
1989.77260274,"Del Tredici, P.",maidenhair-tree
,"Wilson, E.H.",tree
1994.74794521,NACPEC '94,maple
