fracDate Collected,Collector,Kind
1987.76712329,,
1987.76712329,,
1986.73424658,"Nicholson, R. and Hay, I.",
1979.8739726,,birch
1918.49863014,"Wilson, E. H.",pear
1978.70136986,"Ueda, K. and Ito, M.",magnolia
1919.49863014,"Wilson, E. H.",maple
1919.49863014,"Wilson, E. H.",maple
1986.73972603,"Nicholson, R., and Hay, I.",fir
1919.49863014,"Wilson, E. H.",tree
1986.73972603,"Nicholson, R., and Hay, I.",fir
1976.6557377,,birch
1986.73150685,"Nicholson, R. and Hay, I.",fir
1918.49863014,"Wilson, E. H.",pear
1919.49863014,"Wilson, E. H.",
1919.49863014,"Wilson, E. H.",linden
1919.49863014,"Wilson, E. H.",pear
1919.49863014,"Wilson, E. H.",yellow-wood
1919.49863014,"Wilson, E. H.",maple
,"Sargent, C. S.",larch
,,hornbeam
,"Clark, W. S.",lilac
1978.85753425,,oak
1918.49863014,"Wilson, E. H.",pear
1919.07945205,"Wilson, E. H.",pine
1919.07945205,"Wilson, E. H.",pine
1919.07945205,"Wilson, E. H.",pine
1919.49863014,"Wilson, E. H.",pear
1914.80547945,"Wilson, E.H.",hornbeam
1919.49863014,"Wilson, E. H.",pear
1919.49863014,"Wilson, E. H.",pear
1919.49863014,"Wilson, E.H.",pear
1915.49863014,"Wilson, E. H.",cherry
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",cherry
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",cherry
,"Elwes, H. J.",cryptomeria
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",magnolia
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",oak
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",magnolia
1977.70684932,"Spongberg, S.A.; Weaver, R.E.",oak
1977.69041096,"Spongberg, S.A.; Weaver, R.E.",horsechestnut
1977.70684932,"Spongberg, S.A.; Weaver, R.E.",horsechestnut
,"Sargent, C. S.",aralia
1914.49863014,"Wilson, E. H.",maple
,"Sargent, C. S.",fir
,"Bigelow, W.",maple
1914.49863014,"Wilson, E. H.",maple
1978.81917808,"Creech, J.L., Meyer, F.G., March, S.G.",ash
,"Creech, J.L., Meyer, F.G., March, S.G.",oak
,"Creech, J.L., Meyer, F.G., March, S.G.",oak
,"Brooks, Mr.",ironwood
,"Brooks, W. P.",katsura
1919.49863014,"Wilson, E. H.",
1914.49863014,"Wilson, E. H.",yew
1919.49863014,"Wilson, E. H.",linden
1977.69041096,"Spongberg, S.A.; Weaver, R.E.",alder
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",alder
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",alder
1977.70684932,"Spongberg, S.A.; Weaver, R.E.",maple
1977.69041096,"Spongberg, S.A.; Weaver, R.E.",alder
1977.72328767,"Spongberg, S.A.; Weaver, R.E.",birch
1977.72328767,"Spongberg, S.A.; Weaver, R.E.",birch
1977.72328767,"Spongberg, S.A.; Weaver, R.E.",birch
1977.68219178,"Spongberg, S.A.; Weaver, R.E.",
1919.49863014,"Wilson, E. H.",pear
1977.74246575,"Spongberg, S.A.; Weaver, R.E.",maple
,,beech
,"Sargent, C. S.",linden
1977.68493151,"Spongberg, S. A., Weaver, R. E.",hornbeam
1977.68493151,"Spongberg, S. A., Weaver, R. E.",hornbeam
1977.69589041,"Spongberg, S.A.; Weaver, R.E.",yew
,"Sargent, C. S.",linden
2007.78082192,"Shirai, N.",katsura
,"Sargent, C. S.",larch
1986.73972603,"Nicholson, R., and Hay, I.",fir
1986.73972603,"Nicholson, R., and Hay, I.",fir
1977.69589041,"Spongberg, S.A.; Weaver, R.E.",yew
1977.69589041,"Spongberg, S.A.; Weaver, R.E.",yew
1977.69589041,"Spongberg, S.A.; Weaver, R.E.",yew
1918.20273973,"Wilson, E. H.",
1919.49863014,"Wilson, E. H.",
1919.49863014,"Wilson, E. H.",pear
,,larch
1919.49863014,"Wilson, E. H.",linden
1997.7260274,Expedition to Hokkaido 1997,
,"Hara, Prof.",oak
,"Hara, Prof.",oak
1892.5,"Sargent, C. S.",cherry
