fracDate Collected,Collector,Kind
,"Fairey, J.",
1990.76712329,"Nicholson, R., Shemluck, M.",pine
1996.15300546,Medbury,
1980.04098361,"Perry, J. P., Jr.",pine
,Callahan,
,Callahan,
1980.04098361,"Perry, J. P., Jr.",pine
,Callahan,
1980.04098361,"Perry, J. P., Jr.",pine
,Callahan,
,"Villalobos, Daniel",
1988.00273224,"Peter, Jens",fir
,"Villalobos, Daniel",
,"Villalobos, Daniel",
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1988.00273224,"Peter, Jens",
1988.00273224,"Peter, Jens",fir
1988.00273224,"Peter, Jens",fir
1988.00273224,"Peter, Jens",fir
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
1990.76986301,"Nicholson, R., Shemluck, M.",hawthorn
