fracDate Collected,Collector,Kind
,"Sargent, C. S.",honeysuckle
,"Sargent, C. S.",honeysuckle
1999.00273973,,maple
,"Hebb, R., Weaver, R., Seaman, F.",maple
1980.65027322,"Hebb, R., Weaver, R., Seaman, F.",
1980.65300546,"Hebb, Weaver & Seaman",maple
1980.65846995,Hebb/Weaver/Seaman,
1980.65846995,Hebb/Weaver/Seaman,
1980.66393443,"Hebb, R., Weaver, R., Seaman, F.",ash
1980.66393443,"Hebb, R., Weaver, R., Seaman, F.",ash
,,fir
,,fir
1906.85205479,"Meyer, F. N.",spruce
,,fir
,,
,"Relve, H. & T.",birch
,,fir
1997.73150685,,birch
,,oak
2007.6630137,"Anisko, T., Hird, A., Lyakh, E., Rabideau, R., Wang, K.",pear
2007.6630137,"Anisko, T., Hird, A., Lyakh, E., Rabideau, R., Wang, K.",pear
,,fir
,,spruce
1979.28767123,,pine
2007.6630137,"Anisko, T., Hird, A., Lyakh, E., Rabideau, R., Wang, K.",pear
,,spruce
,,larch
,,larch
,,larch
2007.49863014,"Pschennikova, Dr. D.L., Dudkin, Dr. R.V., Kokscheeva, Dr., Mironova, Dr. L.N., Nesterova, Dr. S.V., Petuchova, Dr. I.P., Archipova, M.V., Butukova, L.A., Cyplakova, T.M.",birch
,,larch
1993.71232877,Solomon,
1993.71506849,Solomon,
1980.64754098,"Hebb, R., Weaver, R., Seaman, F.",
1980.64754098,"Hebb, R., Weaver, R., Seaman, F.",
,,pine
,,fir
1997.73150685,,birch
,,fir
,,fir
,,fir
,,
,,larch
,,spruce
1910.04109589,"Meyer, F. N.",willow
,"Sargent, C. S.",honeysuckle
