fracDate Collected,Collector,Kind
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
2008.84972678,Seok Soo Lee,
1917.83287671,"Wilson, E. H.",fir
1918.49863014,"Wilson, E. H.",
1918.49863014,"Wilson, E. H.",pine
1917.87123288,"Wilson, E. H.",stewartia
1917.87123288,"Wilson, E. H.",stewartia
,,poplar
,"Corbett, E.G. and Lighty, R.W.",ash
,,maple
,,ash
,,tree
,,maple
,,tree
,,hornbeam
,,tree
,,tree
,,tree
,,
,,ash
,,pine
,,pine
,,stewartia
,,maple
2004.48907104,"Dosmann, M., Whitlow, T., Kang, H.",tree
,,
,,maple
1977.76712329,"Spongberg, S.A.; Weaver, R.E.",maple
1977.76712329,"Spongberg, S.A.; Weaver, R.E.",maple
,"Jack, J. G.",ash
1977.76164384,"Spongberg, S.A.; Weaver, R.E.",
1977.76712329,"Spongberg, S.A.; Weaver, R.E.",maple
1977.76986301,"Spongberg, S.A.; Weaver, R.E.",maple
1977.76986301,"Spongberg, S.A.; Weaver, R.E.",maple
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",albizia
,"Uciyama, T.",maidenhair-tree
,"Uciyama, T.",maidenhair-tree
1977.75342466,"Spongberg, S.A.; Weaver, R.E.",dogwood
1947.49863014,"Meader, Prof. E.M.",quassiawood
1977.77808219,"Spongberg, S.A.; Weaver, R.E.",maple
1977.77808219,"Spongberg, S.A.; Weaver, R.E.",maple
1977.75342466,"Spongberg, S.A.; Weaver, R.E.",oak
1977.76164384,"Spongberg, S.A.; Weaver, R.E.",
1977.76164384,"Spongberg, S.A.; Weaver, R.E.",
1977.75890411,"Spongberg, S.A.; Weaver, R.E.",honeylocust
1977.75342466,"Spongberg, S.A.; Weaver, R.E.",tree
1977.75890411,"Spongberg, S.A.; Weaver, R.E.",honeylocust
1977.75342466,"Spongberg, S.A.; Weaver, R.E.",tree
1977.76164384,"Spongberg, S.A.; Weaver, R.E.",
1977.76712329,"Spongberg, S.A.; Weaver, R.E.",raisintree
1977.76986301,"Spongberg, S. A. and Weaver, R. E.",honeysuckle
,"Uciyama, T.",oak
1977.76712329,"Spongberg, S. A., Weaver, R. E.",glorybower
,"Uciyama, T.",ash
1977.76712329,"Spongberg, S. A. and Weaver, R. E.",paulownia
1977.78082192,"Spongberg, S.A.; Weaver, R.E.",hackberry
,,
,,tree
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",zelkova
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",zelkova
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",zelkova
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",zelkova
,"Jack, J. G.",oak
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",zelkova
1917.49863014,"Wilson, E. H.",pine
1918.49863014,"Wilson, E.H.",
1918.49863014,"Wilson, E.H.",
1977.76986301,"Spongberg, S.A.; Weaver, R.E.",honeysuckle
,"Meyer, Paul",maidenhair-tree
,,ash
,"Meyer, Paul",maidenhair-tree
,,fir
1995.49863014,,
,,fir
,,fir
,,maple
,,maple
2000.74863388,"Kim H., Chin-Sung Chang, Do-yol Choi, Woong-Gi Min",birch
2000.74863388,"Kim H., Chin-Sung Chang, Do-yol Choi, Woong-Gi Min",birch
,,catalpa
,,catalpa
,,catalpa
2000.42349727,"Min, W.G.",elm
1978.75068493,,birch
,,tree
,,tree
,,
1917.70684932,"Wilson, E. H.",pine
,,
1918.49863014,"Wilson, E.H.",
,,
,"Gil Seok Go, Jong Chang Oh, Jun Gu Ryu, and Kae Sun Chang",tree
,,
,,
1987.00273973,,fir
,,beech
,,birch
,,oak
,"Yinger, B.",
,,
,,tree
,,maple
,,maple
,"Liming, F. G.",fir
,,beech
,,maackia
,,maackia
,,
,,maackia
,,maackia
,"Uciyama, T.",ash
1977.76986301,"Spongberg, S. A. and Weaver, R. E.",maple
,,
1989.49863014,,pine
,,spruce
,,birch
,,fir
,,
,,spruce
,,
1989.49863014,,pine
1905.95068493,"Jack, J. G.",glorybower
,,tree
1989.49863014,,pine
,,fir
,,privet
1947.49863014,"Meader, Prof. E.M.",quassiawood
,,maple
,,maple
,,maple
,,
,,maple
1918.45479452,"Wilson, E. H.",albizia
,,fir
,,
,,fir
,,elm
,,birch
,,
1947.49863014,"Meader, Prof. E.M.",quassiawood
1947.49863014,"Meader, Prof. E. M.",quassiawood
1947.49863014,"Meader, Prof. E.M.",quassiawood
,,cypress
1985.75616438,,oak
,,
,,pear
1976.5,,paulownia
1985.72876712,,ash
,,
,,cypress
,,
1977.76986301,"Spongberg, S.A.; Weaver, R.E.",birch
,,
,,
,,ash
,,ash
,,cypress
1917.70684932,"Wilson, E. H.",pine
1984.79508197,,pine
1984.79508197,,pine
,,ash
1978.41369863,"Miller, C. F.",elm
1978.41369863,"Miller, C. F.",elm
,,cypress
,,
,,
,,
1984.83606557,,
,,maple
1984.76502732,Korean Expedition,
1984.76502732,Korean Expedition,
,,maple
1977.75342466,"Spongberg, S.A.; Weaver, R.E.",oak
1977.75342466,"Spongberg, S.A.; Weaver, R.E.",tree
1977.76986301,"Spongberg, S. A. and Weaver, R. E.",honeysuckle
1977.76712329,"Spongberg, S. A. and Weaver, R. E.",paulownia
1977.76164384,"Spongberg, S.A.; Weaver, R.E.",birch
1978.7890411,,birch
1977.78082192,"Spongberg, S. A., Weaver, R. E.",elm
1977.77260274,"Spongberg, S.A.; Weaver, R.E.",zelkova
1977.76986301,"Spongberg, S.A.; Weaver, R.E.",honeysuckle
1976.7568306,,linden
,,
1995.49863014,,
,,fir
2000.74863388,"Kim H., Chin-Sung Chang, Do-yol Choi, Woong-Gi Min",birch
,,cypress
,,
,,
1984.83879781,"Yinger, Barry",plum
,,
,,tree
,,birch
,,glorybower
,,maple
,,
,,
,,fir
1947.49863014,"Meader, Prof. E.M.",quassiawood
,,albizia
,,albizia
1918.45479452,"Wilson, E. H.",albizia
1947.49863014,"Meader, Prof. E.M.",quassiawood
1947.49863014,"Meader, Prof. E.M.",quassiawood
,,
,,pear
,,
,,
,,
,,ash
,,ash
,,
1918.49863014,"Wilson, E.H.",
,,maple
1984.78142077,,
,,maple
