fracDate Collected,Collector,Kind
,"Frankis, M.",lebanon
,"Frankis, M.",lebanon
1980.76229508,"Aytug, B.",
1970.15616438,"Acatay, Dr. Abdulgafur",pine
1959.7890411,"Oskay, Seocuk",lebanon
1959.7890411,"Oskay, Seocuk",lebanon
1959.7890411,"Oskay, Seocuk",lebanon
1959.7890411,"Oskay, Seocuk",lebanon
1959.7890411,"Oskay, Seocuk",lebanon
,,oak
,,oak
1900.8739726,"Siehe, Walter",lebanon
1900.8739726,"Siehe, Walter",lebanon
1900.8739726,"Siehe, Walter",lebanon
1900.8739726,"Siehe, Walter",lebanon
1900.8739726,"Siehe, Walter",lebanon
1900.8739726,"Siehe, Walter",lebanon
1992.30327869,T. Pes,pine
1992.30327869,T. Pes,pine
1985.59452055,"Sperling, C.",birch
1992.30327869,T. Pes,pine
1990.76438356,Ziya Ozden,
1990.76438356,Ziya Ozden,
,,
1900.8739726,"Siehe, Walter",lebanon
1900.8739726,"Siehe, Walter",lebanon
