Garden Latitude,Garden Longitude,Kind,fracDate Collected,Country
42.29110571,-71.12794415,oak,,
42.30071359,-71.11971781,cedar,1993.49863014,United States
42.30563262,-71.12251939,yew,,
42.29829697,-71.12423803,juniper,,
42.30624431,-71.12179558,redbud,,
42.3007015,-71.1237547,,1987.76712329,Japan
42.29239391,-71.12573576,oak,,
42.30631278,-71.12175451,redbud,,
42.30047938,-71.12365778,,1987.76712329,Japan
42.291326,-71.12718737,larch,,China
42.29960165,-71.12823485,hackberry,1994.70410959,China
42.2995614,-71.12825488,hackberry,1994.70410959,China
42.30280138,-71.12283487,hackberry,1994.70410959,China
42.29130517,-71.12721828,larch,,China
42.29925401,-71.12821727,hemlock,1910.49863014,China
42.29125605,-71.12748306,oak,,United States
42.3020284,-71.11654182,pine,,
42.29479815,-71.12365967,oak,,
42.29128195,-71.12713373,larch,,China
42.29683345,-71.12559598,hemlock,,China
42.29656752,-71.12482757,hemlock,,China
42.29663305,-71.12501601,hemlock,,China
42.29128054,-71.12657941,hemlock,,China
42.29923895,-71.12284987,hemlock,,China
42.29114411,-71.12739791,hemlock,,China
42.29671336,-71.12326803,hemlock,,China
42.29689544,-71.12440541,hemlock,,China
42.29703179,-71.12498492,hemlock,,China
42.2963729,-71.12489271,hemlock,,China
42.29657211,-71.1249398,hemlock,,China
42.29823525,-71.12549203,arborvitae,,
42.29684603,-71.12440201,hemlock,,China
42.30332433,-71.12331955,hemlock,,China
42.29671914,-71.12376408,hemlock,,China
42.2968876,-71.12452743,hemlock,,China
42.29909996,-71.12282713,hemlock,,China
42.30309133,-71.12312583,hemlock,,China
42.29640856,-71.1248888,hemlock,,China
42.29685819,-71.12560693,hemlock,,China
42.29685722,-71.12362572,hemlock,,China
42.2965291,-71.12482782,hemlock,,China
42.29687919,-71.12447204,hemlock,,China
42.29686226,-71.12432798,hemlock,,China
42.29674362,-71.12329003,hemlock,,China
42.29690138,-71.12454618,hemlock,,China
42.29708452,-71.12516943,hemlock,,China
42.29705659,-71.12501804,hemlock,,China
42.29702659,-71.12507367,hemlock,,China
